epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0005,9,-0.00047968538742892974,-1.4661117814021574e-06,True
0.0005,10,0.000517761547680351,1.4243872177924222e-06,True
0.0005,11,-0.0004991241883374187,8.768685363959305e-07,True
0.0005,12,0.0004594137668334497,1.0503507170446513e-06,True
0.0005,13,-0.0007412019310422124,-1.9338692832729376e-06,True
0.0005,14,0.000566477173794766,1.8680504840218326e-07,True
0.0005,15,-0.00026110608973439753,8.460952515172704e-07,True
0.0005,16,-0.0008823093660481618,-9.132000998047368e-07,True
0.0005,17,-0.0004399408632558277,-1.2235044401370798e-06,True
0.0005,18,-0.0003477342334150535,-1.7790595104212603e-07,True
0.0005,19,-0.00014915463299658427,1.1708041574992611e-06,True
0.0005,20,-0.0006698977914396664,-2.885167901395258e-07,True
0.0005,21,0.000488699721326924,4.82377790307284e-07,True
0.0005,22,0.0012300290686582116,1.075352947198932e-06,True
0.0005,23,2.902864945752981e-05,4.5845005876635203e-07,True
0.0005,24,0.0006365667538439368,-6.298412107818424e-07,True
0.0005,25,0.0007889931943800832,1.7495958212088852e-06,True
0.0005,26,4.2704837497353765e-06,-2.6637504930877853e-06,True
0.0005,27,-0.001172728047048821,-1.0253554148173527e-06,True
0.0005,28,0.0009162060251455273,-5.896828861144676e-08,True
0.0005,29,-0.0012794443220691676,-1.2845617477705296e-06,True
0.0005,30,-0.00012423869274513777,-3.381103442241101e-07,True
0.0005,31,0.00047674243832673824,1.306135054498364e-06,True
0.0005,32,-8.632358303728438e-05,-3.0981696537077386e-07,True
0.0005,33,-0.00010323081493623931,-6.129111448111707e-07,True
0.0005,34,0.0005849966113657956,3.66122434803523e-07,True
0.0005,35,0.0011100133899866194,5.380901634301216e-07,True
0.0005,36,0.0011206182958645172,1.42841684809894e-06,True
0.0005,37,-0.0004885397533413993,-4.3237912690161084e-07,True
0.0005,38,0.0011500690178074535,1.6942446448495185e-06,True
0.0005,39,0.00016260384196797872,-8.909777824417375e-07,True
0.0005,40,7.71177489866659e-05,1.6907553697428218e-06,True
0.0005,41,0.0010436963439488522,2.8410732122972904e-07,True
0.0005,42,-0.0006203357881631177,7.34300511402719e-08,True
0.0005,43,0.0001180725376350722,1.6059102648010443e-06,True
0.0005,44,0.0005737898017343923,3.069913783321221e-07,True
0.0005,45,-0.0011014329156004976,-5.113650526876456e-07,True
0.0005,46,0.0012093351357478355,7.343572213033833e-07,True
0.0005,47,-0.00046010171099553077,-1.0757082852391742e-06,True
0.0005,48,0.00044095568965119014,-3.425432422085595e-08,True
0.0005,49,0.0003701053758149442,-2.5440892063161025e-07,True
0.0005,50,-0.00017377214268776697,1.3460709286060302e-06,True
0.0005,51,-0.0008452354229326886,4.1478498327696123e-07,True
0.0005,52,-0.002296733277837859,-2.494932712295006e-06,True
0.0005,53,-0.00067972674110095,-1.3026341847272027e-06,True
0.0005,54,0.00033435097355294374,1.9068341222082397e-06,True
0.0005,55,-0.0007951913979482583,-1.4106802284936243e-06,True
0.0005,56,-0.00019411606473340726,-1.6479371658002784e-06,True
0.0005,57,0.000587278372240263,2.223620756075864e-06,True
0.0005,58,0.0013356951716581023,7.06805901150992e-08,True
0.0005,59,0.0004921482444579794,5.080552805437899e-07,True
0.0005,60,-0.0007014576332267097,-1.1476522399182787e-06,True
0.0005,61,-0.0005694418592767647,-5.107744271738712e-07,True
0.0005,62,0.0014746523044237847,3.3859602920800758e-06,True
0.0005,63,-0.0005583544097653714,-5.040697874224981e-07,True
0.0005,64,0.0008521023554202145,1.8902864385404727e-06,True
0.0005,65,0.0016709925178588492,1.0884559341704098e-06,True
0.0005,66,-0.00046299537983429673,-7.40448134764482e-07,True
0.0005,67,-0.0003998240951048615,-8.751573377929756e-07,True
0.0005,68,0.002165089121742625,1.8070173916796134e-06,True
0.0005,69,-0.0004013378377081267,1.0314493424836563e-06,True
0.0005,70,0.0013080165914729491,1.9379745386828573e-06,True
0.0005,71,-2.9492068801317828e-05,-1.7373336166567888e-07,True
0.0005,72,0.0008926509386775194,-4.788018297206126e-07,True
0.0005,73,-0.0007353220111561143,-1.4179808367070779e-06,True
